年	月	日	降雨	实测流量	DTVGM	Btop	Swat
1989	1	1	0	78	31.531	47.32079	11.09
1989	1	2	0	74	49.618	46.69003	9.415
1989	1	3	0.1	75	61.579	46.07314	9.26
1989	1	4	0.038	73	70.684	45.49813	7.791
1989	1	5	0.04	72	77.771	44.96597	7.532
1989	1	6	0	72	82.68	44.51472	8.191
1989	1	7	0.004	69	85.373	44.22947	6.619
1989	1	8	0	67	86.18	44.13389	6.472
1989	1	9	0.175	69	85.794	44.08974	6.13
1989	1	10	0.578	70	87.078	43.9231	5.071
1989	1	11	0.455	70	88.596	45.40402	7.056
1989	1	12	0.473	71	89.776	48.46538	5.097
1989	1	13	0.554	70	93.61	53.01501	6.09
1989	1	14	0	60	93.8	55.32287	5.752
1989	1	15	0.066	55	93.617	53.57579	6.586
1989	1	16	0	53	93.103	50.31249	6.922
1989	1	17	0.056	55	92.287	48.39746	6.12
1989	1	18	0.664	59	96.661	49.54814	5.9
1989	1	19	0	60	95.314	50.10554	33.45
1989	1	20	0	60	93.942	49.36862	12.96
1989	1	21	0.01	58	92.599	46.53664	8.514
1989	1	22	0.001	58	91.207	42.23249	6.16
1989	1	23	0	62	89.772	38.91078	4.651
1989	1	24	0.001	62	88.286	37.65596	4.009
1989	1	25	0	63	86.772	37.89102	3.76
1989	1	26	0	63	85.241	38.2389	3.687
1989	1	27	0.001	64	83.703	37.9355	3.671
1989	1	28	0	65	82.167	37.40683	149.5
1989	1	29	0	65	80.638	37.08601	6.03
1989	1	30	0	66	79.119	37.00485	5.689
1989	1	31	0.001	66	77.615	36.92916	26.81
1989	2	1	0	66	76.128	36.57062	15.19
1989	2	2	0.053	67	74.695	36.20629	7.041
1989	2	3	0.011	68	73.318	35.8553	3.415
1989	2	4	0.09	66	71.98	35.35005	1.749
1989	2	5	0.249	62	70.733	34.88041	1.31
1989	2	6	2.482	62	82.298	36.07926	0.9366
1989	2	7	0.719	62	89.689	37.44104	8.716
1989	2	8	0	61	92.223	38.93661	3.072
1989	2	9	0	63	94.445	40.03148	8.453
1989	2	10	0	64	92.631	40.45038	4.426
1989	2	11	0.012	65	90.929	40.43673	2.956
1989	2	12	0.003	66	89.194	39.97978	1.674
1989	2	13	0.052	66	87.447	39.5215	1.075
1989	2	14	0.001	64	85.668	39.1201	0.7189
1989	2	15	0.009	62	83.871	38.48598	0.2374
1989	2	16	0.234	60	82.218	37.88363	0.045
1989	2	17	0.225	62	81.394	37.29523	0.02104
1989	2	18	0	64	80.222	35.85289	0
1989	2	19	0.011	64	80.725	33.6025	0
1989	2	20	3.55	66	80.298	31.91782	0
1989	2	21	1	59	78.044	31.68349	0
1989	2	22	1.203	59	76.567	32.24787	0
1989	2	23	0.059	62	75.247	32.62452	0
1989	2	24	0.17	63	74.083	32.41672	0
1989	2	25	0	61	72.955	31.92971	0
1989	2	26	0	58	71.833	31.76687	0
1989	2	27	0	56	70.681	31.96696	2.01
1989	2	28	0	64	69.892	32.13916	1.801
1989	3	1	0	66	86.2	32.35589	1955
1989	3	2	0	73	110.849	32.86594	536.9
1989	3	3	0.001	73	121.073	33.6362	138.1
1989	3	4	0.057	74	123.857	34.82889	45.54
1989	3	5	0.001	72	123.172	36.53214	24.9
1989	3	6	0	72	120.831	37.86817	18.72
1989	3	7	0	73	117.674	37.54076	13.86
1989	3	8	0.001	72	114.086	35.29758	9.002
1989	3	9	0.268	71	111.396	32.19044	5.936
1989	3	10	1.058	72	116.295	34.40926	13.84
1989	3	11	0	71	115.35	37.82474	11.34
1989	3	12	0.278	70	121.428	40.70859	8.231
1989	3	13	0.135	72	120.492	39.81112	6.176
1989	3	14	0	73	117.602	37.84488	3.742
1989	3	15	0.002	76	114.133	39.65682	2.649
1989	3	16	0.002	78	111.2	42.90039	2.582
1989	3	17	0.003	78	107.579	43.47772	2.393
1989	3	18	0.105	77	103.843	41.31207	182.8
1989	3	19	0	76	100.292	39.58046	6.982
1989	3	20	0.029	76	97.496	39.32901	12.38
1989	3	21	0.105	77	95.176	38.44641	7.921
1989	3	22	0.449	77	93.007	35.32145	3.604
1989	3	23	0.603	79	91.034	30.90955	2.48
1989	3	24	1.193	82	89.055	27.72292	3.047
1989	3	25	0.512	83	86.692	27.23552	2.496
1989	3	26	0.606	82	84.309	27.98785	2.101
1989	3	27	0.601	80	82.112	28.07034	2.961
1989	3	28	0.04	78	80.282	27.32163	26.05
1989	3	29	2.022	79	81.885	30.32164	16.06
1989	3	30	1.018	83	83.284	36.23146	33.6
1989	3	31	0.763	84	83.572	41.06844	14.19
1989	4	1	0.012	86	85.571	40.70797	795
1989	4	2	0.926	87	91.121	36.09105	197.9
1989	4	3	1.453	90	102.853	37.34997	57.36
1989	4	4	1.548	96	119.267	49.68902	92.33
1989	4	5	0.061	96	120.457	62.83721	200.2
1989	4	6	0.028	92	120.775	65.83663	35.12
1989	4	7	1.51	88	125.16	56.8527	42.38
1989	4	8	1.095	88	124.766	49.6539	30.83
1989	4	9	0.343	86	125.845	52.38947	376.1
1989	4	10	0.025	85	127.303	58.31806	352.4
1989	4	11	1.272	89	135.551	62.19746	99.56
1989	4	12	0.581	93	141.41	63.55266	72.22
1989	4	13	0.481	92	142.749	61.92941	51.25
1989	4	14	0.717	92	144.246	59.02025	42.2
1989	4	15	0.574	91	142.105	56.41521	30.69
1989	4	16	1.246	85	139.927	57.28101	43.04
1989	4	17	3.295	84	142.095	58.06265	33.68
1989	4	18	0.363	83	140.449	54.67296	161.8
1989	4	19	0.194	84	137.817	48.71634	373.1
1989	4	20	1.024	92	142.457	45.52738	100.9
1989	4	21	2.539	109	162.99	55.50817	104.1
1989	4	22	2.005	112	185.51	71.99026	91.56
1989	4	23	0.151	105	190.071	86.22905	226.5
1989	4	24	0.497	101	206.246	93.57568	264.9
1989	4	25	1.097	103	209.799	97.84889	390.9
1989	4	26	0.489	107	208.865	101.7712	605.7
1989	4	27	0.962	112	208.94	98.77641	347.8
1989	4	28	1.577	122	213.172	88.49133	184
1989	4	29	0.645	128	215.5	78.2134	91.3
1989	4	30	1.858	131	217.7	75.25426	64.38
1989	5	1	0.439	135	218.069	75.34831	383.2
1989	5	2	0.166	138	219.609	72.39384	249.7
1989	5	3	4.989	134	221.799	65.93677	48.95
1989	5	4	2.301	137	223.658	58.83098	67.95
1989	5	5	0.204	162	223.701	53.62951	41.21
1989	5	6	1.806	271	220.85	51.95719	30.47
1989	5	7	2.218	381	216.069	52.68222	20.4
1989	5	8	0.63	433	208.507	53.41754	13.37
1989	5	9	1.626	421	202.316	53.73381	30.06
1989	5	10	1.639	340	202.579	57.40637	43.12
1989	5	11	0.069	284	195.481	62.54663	58.18
1989	5	12	1.151	281	190.279	70.43932	51.05
1989	5	13	3.423	270	200.091	80.89624	94.63
1989	5	14	2.449	246	197.198	83.16754	78.63
1989	5	15	2.067	251	197.827	80.75229	52.1
1989	5	16	2.988	248	195.316	73.9062	40.06
1989	5	17	1.002	228	192.462	68.31854	26.88
1989	5	18	0.267	202	185.262	68.38994	33.68
1989	5	19	1.861	194	184.523	72.59144	36.18
1989	5	20	5.26	206	185.889	79.77337	202.4
1989	5	21	4.552	251	222.244	99.17939	186.1
1989	5	22	5.724	275	243.783	125.658	103.2
1989	5	23	3.233	279	253.338	152.6814	86.93
1989	5	24	7.605	283	269.161	165.0943	57.63
1989	5	25	4.038	323	287.11	179.3673	155.8
1989	5	26	1.882	407	287.191	199.2159	574.7
1989	5	27	2.118	547	296.198	221.7108	351.6
1989	5	28	3.787	604	316.003	240.3612	262.2
1989	5	29	0.855	602	331.151	258.0466	165.6
1989	5	30	4.583	606	356.646	282.1477	167.2
1989	5	31	7.096	598	401.304	287.023	117.6
1989	6	1	8.048	542	424.974	264.981	82.12
1989	6	2	9.401	524	467.285	266.6083	297.3
1989	6	3	2.656	525	466.652	332.4441	898.1
1989	6	4	1.846	489	448.337	440.1201	309.8
1989	6	5	1.355	458	425.228	506.114	204.4
1989	6	6	1.649	444	409.069	486.2637	213.1
1989	6	7	0.528	447	388.509	413.5281	140.1
1989	6	8	2.794	438	372.767	338.5545	167.9
1989	6	9	2.098	434	360.953	275.5278	79.56
1989	6	10	7.078	417	348.069	235.9885	77.76
1989	6	11	0.222	413	333.275	226.7762	51.62
1989	6	12	0.863	397	318.557	233.1432	88.27
1989	6	13	2.252	393	306.142	243.7928	134.6
1989	6	14	6.433	396	301.228	266.708	350.5
1989	6	15	3.997	436	316.707	326.4505	276.3
1989	6	16	2.871	456	338.496	403.9743	527.6
1989	6	17	3.289	614	409.902	450.1813	1404
1989	6	18	0.669	1000	489.341	425.0431	492.8
1989	6	19	0.407	977	530.915	374.5018	251.5
1989	6	20	1.142	680	533.682	370.7009	241.9
1989	6	21	3.761	547	511.012	431.4591	157.9
1989	6	22	5.434	494	486.722	548.2251	318.6
1989	6	23	8.897	478	467.192	665.1065	180.9
1989	6	24	8.461	461	460.026	682.948	250.3
1989	6	25	14.396	506	537.844	630.1384	2058
1989	6	26	11.037	642	689.882	600.4013	1297
1989	6	27	20.837	895	829.291	614.4474	1086
1989	6	28	11.027	936	907.506	623.894	1027
1989	6	29	11.048	758	936.727	614.0171	524.6
1989	6	30	11.71	720	1073.35	637.5793	750
1989	7	1	5.963	701	1117.625	686.8088	490.1
1989	7	2	4.36	755	1115.319	722.3304	395.9
1989	7	3	6.605	769	956.714	760.0176	318
1989	7	4	7.35	760	807.424	823.7931	331.9
1989	7	5	8.358	754	697.13	832.9023	643
1989	7	6	3.387	744	725.24	761.9449	378.6
1989	7	7	5.008	791	696.835	708.8686	261.6
1989	7	8	5.544	749	663.674	708.7659	239.5
1989	7	9	9.15	777	756.377	752.3674	339.9
1989	7	10	8.658	885	862.927	829.0629	1183
1989	7	11	9.688	1010	833.177	930.8352	481.6
1989	7	12	2.124	930	749.75	1037.129	539.7
1989	7	13	4.153	787	669.545	1118.036	315.5
1989	7	14	1.916	694	594.737	1156.014	595.8
1989	7	15	2.342	632	542.181	1109.535	351
1989	7	16	5.83	595	524.249	976.5394	377.5
1989	7	17	9.288	566	510.003	848.1192	494.5
1989	7	18	3.357	573	522.48	756.9113	340.6
1989	7	19	2.04	606	501.672	671.1216	285.1
1989	7	20	1.059	601	467.888	627.3513	275.5
1989	7	21	0.185	552	432.58	636.3779	228.8
1989	7	22	1.388	491	404.932	608.2838	206.6
1989	7	23	6.028	492	379.259	566.7677	392.1
1989	7	24	4.171	491	356.196	582.8285	319
1989	7	25	1.619	498	342.395	593.4159	447.2
1989	7	26	14.09	535	361.957	562.7491	347.6
1989	7	27	24.505	592	387.129	538.682	349.2
1989	7	28	4.916	611	377.855	503.3171	327
1989	7	29	0.126	526	364.024	429.9372	292.8
1989	7	30	0.001	467	346.384	391.2814	253.5
1989	7	31	0.369	429	326.969	436.7835	471.7
1989	8	1	0.044	396	306.24	510.3602	1127
1989	8	2	0.42	381	286.318	553.6366	762.8
1989	8	3	6.815	358	268.967	536.7926	578.1
1989	8	4	3.842	342	254.415	453.6001	488.5
1989	8	5	5.796	341	248.821	362.8753	358
1989	8	6	9.097	383	262.561	313.6216	378.5
1989	8	7	13.836	447	282.672	303.1267	304.8
1989	8	8	1.741	452	292.154	310.2107	275.5
1989	8	9	3.102	483	298.345	331.6351	628.8
1989	8	10	7.714	483	353.658	360.6602	833.1
1989	8	11	4.417	493	411.592	398.2124	460.9
1989	8	12	3.946	605	445.497	486.7264	532.1
1989	8	13	1.98	623	461.134	627.199	349.5
1989	8	14	3.807	571	468.23	728.6262	454.3
1989	8	15	6.482	514	478.578	726.6999	312
1989	8	16	6.91	531	593.74	743.5156	436.8
1989	8	17	7.188	555	619.492	833.2091	566
1989	8	18	10.723	562	704.148	936.0877	1367
1989	8	19	13.951	605	646.755	946.8746	553.9
1989	8	20	2.31	628	582.514	857.981	415.9
1989	8	21	0.258	603	527.233	733.8643	1081
1989	8	22	0.066	533	481.358	619.5106	408.2
1989	8	23	1.94	493	466.977	553.8878	630.6
1989	8	24	3.966	506	461.043	545.2218	566.7
1989	8	25	6.531	525	481.775	568.7095	685.2
1989	8	26	4.189	539	504.994	598.5244	470.8
1989	8	27	3.227	554	489.59	613.7902	353.5
1989	8	28	2.503	535	462.402	592.7067	323.3
1989	8	29	0.93	501	432.825	538.3815	283.6
1989	8	30	3.811	488	421.106	485.4417	951.3
1989	8	31	9.783	522	441.675	458.9222	996.3
1989	9	1	9.733	549	469.122	468.7667	528.1
1989	9	2	5.638	590	485.134	470.8514	415.6
1989	9	3	6.134	609	481.865	457.5189	392.5
1989	9	4	16.32	609	491.915	488.3548	421.6
1989	9	5	3.991	584	465.964	513.1652	321
1989	9	6	5.038	573	463.058	490.5465	331
1989	9	7	6.035	607	531.829	474.844	508.4
1989	9	8	4.152	634	569.326	517.4182	735
1989	9	9	2.611	687	589.291	615.5321	621
1989	9	10	5.95	785	688.671	701.1674	994.4
1989	9	11	6.577	905	772.024	744.0074	750.7
1989	9	12	4.743	1120	833.98	740.0416	622
1989	9	13	3.533	1170	852.394	712.6854	558.6
1989	9	14	5.645	1170	801.77	710.0213	544
1989	9	15	15.374	1140	860.707	751.9282	542.8
1989	9	16	5.165	1130	766.002	783.736	508.9
1989	9	17	7.57	1080	686.272	792.6371	467.7
1989	9	18	5.966	1010	644.134	818.7633	455.3
1989	9	19	4.784	898	618.91	826.8909	405.5
1989	9	20	0.805	837	565.578	782.56	360.5
1989	9	21	0.229	787	519.724	724.8746	318.6
1989	9	22	0.708	724	483.206	670.0829	303.9
1989	9	23	2.423	672	466.368	592.9129	397.9
1989	9	24	0.61	650	451.074	507.4188	312.8
1989	9	25	0.396	619	432.007	460.8755	294.3
1989	9	26	1.554	595	412.661	434.6058	278.9
1989	9	27	3.096	577	421.54	411.9825	343.2
1989	9	28	4.486	566	418.105	401.1536	292.5
1989	9	29	5.906	563	449.706	405.201	310.3
1989	9	30	2.717	550	431.088	400.1074	274.2
1989	10	1	6.527	528	402.597	394.3475	262.8
1989	10	2	11.031	513	377.628	402.4835	258.9
1989	10	3	2.123	499	368.326	407.3223	300.5
1989	10	4	3.425	505	371.063	395.5912	561.9
1989	10	5	5.595	524	395.472	385.1093	854
1989	10	6	7.66	583	426.262	397.3397	555.2
1989	10	7	7.089	609	479.798	424.92	413.4
1989	10	8	12.872	612	544.442	422.0276	409.8
1989	10	9	10.819	632	570.133	388.869	377
1989	10	10	8.417	625	519.643	373.6444	324.9
1989	10	11	0.648	601	483.879	399.1364	292.9
1989	10	12	0.538	571	447.747	408.4994	279.4
1989	10	13	0.033	549	419.588	380.6837	359.6
1989	10	14	0.074	524	397.53	363.3125	300.1
1989	10	15	2.902	503	378.407	354.6288	288
1989	10	16	11.576	481	360.075	321.1349	260.2
1989	10	17	2.265	464	341.731	273.0093	244
1989	10	18	3.948	450	327.223	241.1375	237
1989	10	19	12.63	444	348.136	242.164	228.8
1989	10	20	0.837	439	358.732	250.3283	281.3
1989	10	21	0.622	425	345.14	242.3457	240.7
1989	10	22	0.108	412	327.802	224.1744	222.8
1989	10	23	4.332	395	312.69	212.0993	215.6
1989	10	24	0.027	380	300.09	209.0048	555.1
1989	10	25	0.02	372	295.914	206.0119	263.8
1989	10	26	0.08	363	294.644	201.1296	233.8
1989	10	27	1.053	357	293.436	200.2168	242.3
1989	10	28	1.382	353	290.651	200.2944	222.4
1989	10	29	0.059	347	281.427	199.3073	205.2
1989	10	30	0.008	328	271.816	195.6782	190.9
1989	10	31	0	309	261.803	187.917	341
1989	11	1	1.651	302	251.652	178.8739	199
1989	11	2	0.018	296	240.698	169.7709	184.8
1989	11	3	0.114	289	230.179	159.6339	162.1
1989	11	4	0.183	288	219.737	151.1309	164.2
1989	11	5	0.502	282	213.501	149.3319	156.7
1989	11	6	0.424	271	208.107	149.586	158.8
1989	11	7	0.358	264	201.99	147.0365	150.1
1989	11	8	0.208	254	195.56	143.7659	147.2
1989	11	9	0	248	189.64	140.542	138.8
1989	11	10	0	238	183.963	135.4802	235.3
1989	11	11	0	233	178.327	128.9775	128.7
1989	11	12	0	230	172.857	123.4881	139.4
1989	11	13	0	228	169.037	120.2981	123.3
1989	11	14	0	225	166.465	118.0611	121
1989	11	15	0.357	225	166.251	117.9682	119.1
1989	11	16	1.442	224	168.714	120.6511	119.4
1989	11	17	0.705	223	164.473	121.3223	122.9
1989	11	18	0.014	211	159.011	118.6922	113.4
1989	11	19	0	203	153.657	112.758	112.3
1989	11	20	0.156	192	148.667	105.5737	110
1989	11	21	0.027	187	144.25	100.2666	102.8
1989	11	22	0.172	184	139.921	96.79004	101
1989	11	23	0.167	176	135.792	93.64314	97.65
1989	11	24	0	168	131.803	91.18211	95.28
1989	11	25	0.014	172	127.936	89.1978	94.5
1989	11	26	0.206	173	124.242	86.91902	86.4
1989	11	27	0.579	175	121.227	84.17388	85.16
1989	11	28	0.64	175	118.804	81.8316	85.41
1989	11	29	0.47	169	116.873	81.10941	81.91
1989	11	30	0.481	165	116.142	81.52794	77.75
1989	12	1	0.444	158	115.057	80.64309	70.88
1989	12	2	0.152	159	113.858	78.55108	51.59
1989	12	3	0	164	112.454	76.87098	58.86
1989	12	4	0	158	110.84	76.05195	56.94
1989	12	5	0	134	109.062	75.84332	52
1989	12	6	0	124	107.179	76.71855	55.03
1989	12	7	0	126	105.241	79.37074	46.58
1989	12	8	0	127	103.283	82.85403	45.17
1989	12	9	0	129	101.323	84.49298	36.8
1989	12	10	0	129	99.371	82.23891	35.49
1989	12	11	0.125	129	97.471	76.51406	30.33
1989	12	12	0.208	128	95.671	70.05426	31.74
1989	12	13	1.1	127	95.287	65.74757	30.87
1989	12	14	1.482	128	95.323	64.82534	26.41
1989	12	15	0.008	129	95.474	66.84375	23.72
1989	12	16	0	125	95.489	69.85471	26.41
1989	12	17	0.005	121	95.2	71.07551	21.92
1989	12	18	0	114	94.554	69.76888	22.91
1989	12	19	0	105	93.587	68.45637	24.14
1989	12	20	0.03	110	92.396	68.3724	21.85
1989	12	21	0.18	111	91.187	67.57145	20.69
1989	12	22	0.806	114	91.495	67.62132	19.17
1989	12	23	0.177	106	90.308	68.25756	18.62
1989	12	24	0	91	89.168	67.73076	19.35
1989	12	25	0.117	94	88.114	63.44302	17.78
1989	12	26	0.025	92	87.002	57.93814	17.37
1989	12	27	1.201	110	86.525	55.21321	30.65
1989	12	28	0.074	108	86.888	54.80883	17.67
1989	12	29	0.002	93	87.925	54.61904	13.72
1989	12	30	0	84	89.128	54.36757	14.71
1989	12	31	0	86	90.028	54.09332	14.38
1990	1	1	0	85	90.393	100.8033	12.38
1990	1	2	0	80	90.23	102.4322	12.58
1990	1	3	0	80	89.666	104.2986	12.54
1990	1	4	0.012	81	88.857	105.8167	12.2
1990	1	5	0	82	87.936	105.4455	11.7
1990	1	6	0	81	86.985	103.8493	11.48
1990	1	7	0	79	86.035	102.5572	11.59
1990	1	8	0	79	85.085	102.1657	10.74
1990	1	9	0	81	84.112	102.4036	8.962
1990	1	10	0.017	82	83.106	101.971	11.55
1990	1	11	0	84	82.057	101.5874	18.79
1990	1	12	0	83	80.958	101.5512	13.38
1990	1	13	0	81	79.806	100.4416	8.917
1990	1	14	0.018	83	78.613	98.29658	8.514
1990	1	15	0.002	84	77.391	95.85096	7.545
1990	1	16	0	85	76.149	93.34598	6.947
1990	1	17	0.01	85	74.899	90.69226	107.9
1990	1	18	0	86	73.647	88.44472	13.95
1990	1	19	0	89	72.475	86.83403	20.99
1990	1	20	0.016	88	71.951	85.47491	17.19
1990	1	21	0.006	93	70.914	83.99857	11.75
1990	1	22	0.259	94	69.75	82.22893	8.526
1990	1	23	0.913	92	68.613	80.57758	8.339
1990	1	24	0.288	91	67.627	79.21344	6.843
1990	1	25	0	87	66.685	77.86851	4.756
1990	1	26	0	86	65.72	76.46644	4.929
1990	1	27	0	85	64.709	75.1452	5.072
1990	1	28	0.011	87	63.664	73.87251	4.336
1990	1	29	0.682	89	63.174	72.77485	15.07
1990	1	30	0.907	89	63.617	71.55641	8.987
1990	1	31	2.642	87	73	70.06383	6.055
1990	2	1	0.117	87	68.733	68.25001	3.651
1990	2	2	0.764	87	70.232	70.35163	3.296
1990	2	3	0.77	85	74.344	75.44475	3.394
1990	2	4	0	83	72.891	80.96682	7.221
1990	2	5	0.506	84	72.258	82.14062	30.85
1990	2	6	0.528	83	73.498	80.67841	7.61
1990	2	7	0.101	82	73.398	78.65246	45.65
1990	2	8	0.004	80	73.199	78.06032	8.667
1990	2	9	0.052	82	73.487	75.14417	4.074
1990	2	10	0.202	84	73.155	68.91104	1.95
1990	2	11	0	84	72.101	63.44965	1.249
1990	2	12	0.308	84	71.025	60.05334	0.8389
1990	2	13	0	85	69.916	57.48743	0.5006
1990	2	14	0	84	68.801	55.69508	6.739
1990	2	15	0.713	85	75.279	55.514	41.22
1990	2	16	0.457	88	71.752	56.59795	11.02
1990	2	17	0.245	86	71.164	58.05023	9.085
1990	2	18	0	84	70.717	58.53951	6.486
1990	2	19	0	85	70.361	56.8841	6.564
1990	2	20	0.001	84	69.839	54.12012	3.977
1990	2	21	0.018	84	69.048	52.30911	3.075
1990	2	22	0.416	85	68.242	51.78675	2.334
1990	2	23	0.336	84	68.139	51.47068	3.221
1990	2	24	0.162	84	67.595	50.64927	2.333
1990	2	25	0.021	83	67.047	49.7853	2.081
1990	2	26	0.038	79	66.403	49.24763	1.193
1990	2	27	0.315	79	65.824	48.61536	0.7791
1990	2	28	0.029	79	65.146	47.57791	0.3168
1990	3	1	0.006	81	64.904	46.77574	9.074
1990	3	2	0.503	82	66.299	46.58414	5.106
1990	3	3	0.415	84	64.594	46.25797	2.764
1990	3	4	0.268	83	63.737	45.48386	1.614
1990	3	5	0.117	81	63.39	45.1744	0.8657
1990	3	6	0.032	79	63.255	45.86756	0.3724
1990	3	7	0.084	81	63.142	46.94726	0.112
1990	3	8	1.894	79	62.882	47.36413	0
1990	3	9	1.519	80	62.412	46.53827	0
1990	3	10	0.036	81	62.184	44.92655	0
1990	3	11	0.492	81	62.02	43.38486	0
1990	3	12	0.119	83	62.313	42.45176	0
1990	3	13	1.375	84	61.794	42.75084	0
1990	3	14	0.953	82	61.64	44.5447	0
1990	3	15	1.725	81	61.501	46.46847	0
1990	3	16	3.542	80	61.195	46.66075	0
1990	3	17	0.459	77	60.67	45.26624	0
1990	3	18	0	82	59.935	43.73759	12.44
1990	3	19	0.002	86	60.324	42.55206	616.3
1990	3	20	0.201	89	62.905	41.7827	605.5
1990	3	21	0.06	90	69.696	42.46228	2088
1990	3	22	0.013	97	90.059	45.13929	1680
1990	3	23	0.093	103	108.913	48.06386	579.9
1990	3	24	0.05	108	126.269	48.59483	255.2
1990	3	25	0.131	112	140.296	46.06231	337.9
1990	3	26	0.751	113	147.683	42.23836	105.4
1990	3	27	0.074	110	150.777	39.25156	75.31
1990	3	28	0.258	105	150.037	37.69726	39.42
1990	3	29	0.283	100	147.183	36.87386	37.56
1990	3	30	0.376	96	143.447	37.59436	26.8
1990	3	31	0.26	95	137.5	38.62277	101.9
1990	4	1	0.135	92	131.627	39.65008	17.87
1990	4	2	1.186	89	131.616	40.43553	28.04
1990	4	3	0.823	84	134.124	40.38162	21.18
1990	4	4	3.397	90	157.693	57.80446	34.01
1990	4	5	1.372	91	155.603	79.86862	58.6
1990	4	6	0.714	91	159.087	94.7633	48.24
1990	4	7	0.745	90	157.429	87.33337	32.42
1990	4	8	0.562	90	161.711	75.19394	37.28
1990	4	9	2.056	91	190.999	75.91212	30.57
1990	4	10	0.645	94	191.458	77.32487	33.18
1990	4	11	1.275	93	187.205	72.56163	25.37
1990	4	12	0.55	87	180.58	67.99883	20.76
1990	4	13	1.114	85	182.625	67.19421	372.1
1990	4	14	3.02	89	188.231	67.08248	264.9
1990	4	15	2.047	91	198.121	65.58282	412
1990	4	16	0.333	94	207.297	65.62487	120.2
1990	4	17	0.251	100	223.055	69.20726	353
1990	4	18	0.169	109	249.431	72.14663	452.6
1990	4	19	0.263	117	274.541	72.89487	810.7
1990	4	20	1.038	132	295.836	73.38268	429.9
1990	4	21	0.641	150	306.726	71.401	545.1
1990	4	22	1.036	162	303.07	68.28663	214
1990	4	23	1.955	163	288.877	65.30337	141.1
1990	4	24	2.946	170	275.685	66.2445	128.9
1990	4	25	3.1	170	259.267	69.46551	79.16
1990	4	26	0.491	161	244.49	70.10849	68.43
1990	4	27	0.04	187	233.516	64.72654	46.08
1990	4	28	0.003	232	228.275	58.40372	62.58
1990	4	29	1.054	304	232.595	56.66806	86.4
1990	4	30	1.453	366	248.384	57.34908	299.2
1990	5	1	1.168	344	275.757	58.16516	99.64
1990	5	2	1.031	287	305.162	59.02188	112.9
1990	5	3	2.082	257	334.223	63.98182	85.6
1990	5	4	2.425	214	344.44	68.7107	66.93
1990	5	5	0	185	339.936	74.65194	103.3
1990	5	6	0.904	174	329.089	74.92091	63.36
1990	5	7	4.466	187	330.71	69.13729	68.59
1990	5	8	1.124	216	326.482	67.88357	41
1990	5	9	2.213	334	321.983	75.57859	40.52
1990	5	10	7.028	418	314.465	89.90262	90.38
1990	5	11	0.085	395	303.094	105.48	49.75
1990	5	12	0.675	397	290.571	111.0451	100.8
1990	5	13	2.299	389	276.863	101.7861	282.5
1990	5	14	12.672	404	278.39	91.39815	105.8
1990	5	15	5.392	368	267.116	86.27111	330.4
1990	5	16	0.076	287	253.242	83.29095	121.3
1990	5	17	1.061	231	239.863	77.77893	85.64
1990	5	18	0	213	227.122	68.94737	63.68
1990	5	19	1.66	284	223.099	62.84134	54.76
1990	5	20	4.536	345	235.115	61.39819	1120
1990	5	21	2.356	448	266.559	67.95135	333.3
1990	5	22	4.484	492	342.487	80.43862	1085
1990	5	23	6.31	543	457.991	96.16861	564.6
1990	5	24	7.885	486	548.919	111.1313	419.3
1990	5	25	4.192	433	588.174	122.2795	279.6
1990	5	26	3.662	421	575.314	130.0376	205.6
1990	5	27	3.311	427	556.333	140.9434	133.9
1990	5	28	5.816	478	522.599	166.8275	87.28
1990	5	29	2.155	462	479.702	211.9873	69.39
1990	5	30	2.839	414	440.944	245.4854	314.3
1990	5	31	7.754	386	416.909	255.2248	110.3
1990	6	1	3.682	340	394.819	250.6374	63.81
1990	6	2	10.865	317	383.223	226.8944	86.85
1990	6	3	7.399	310	358.814	187.6351	71.11
1990	6	4	4.574	304	353.734	155.7354	97.75
1990	6	5	4.785	299	351.549	135.4572	61.84
1990	6	6	7.127	335	427.391	137.5686	125.1
1990	6	7	8.158	467	581.429	167.0043	131.4
1990	6	8	5.38	434	518.445	203.4373	225.8
1990	6	9	0.224	376	444.569	230.1729	128.7
1990	6	10	0.095	351	387.336	250.6834	89.3
1990	6	11	5.615	390	417.621	301.2566	316.9
1990	6	12	7.768	397	464.781	355.5069	167
1990	6	13	4.126	377	459.448	375.4903	128.4
1990	6	14	2.569	412	410.165	368.7193	96.06
1990	6	15	10.621	501	382.435	367.3724	228.3
1990	6	16	4.638	599	407.925	383.4592	173.2
1990	6	17	7.861	683	461.675	401.021	203.1
1990	6	18	7.694	666	474.341	416.8209	243.4
1990	6	19	13.093	742	499.574	507.3236	357.6
1990	6	20	10.216	680	423.036	615.1202	184.7
1990	6	21	0.943	554	360.494	611.764	455.2
1990	6	22	4.682	488	356.639	511.3676	491.1
1990	6	23	12.48	425	378.452	418.7925	672.4
1990	6	24	7.152	398	362.791	409.0168	337.5
1990	6	25	3.206	353	345.739	412.6076	190.9
1990	6	26	0.297	322	325.907	370.4028	134
1990	6	27	1.408	334	314.363	357.2079	120.6
1990	6	28	5.346	364	312.337	377.7763	552.1
1990	6	29	10.724	467	347.541	408.4852	394.2
1990	6	30	9.889	508	356.996	437.3322	239.1
1990	7	1	1.794	476	355.034	448.1859	147.9
1990	7	2	3.522	455	343.424	423.0074	110.5
